Name,Pruned,RC,SMILES
34,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C(SC([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
34,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C(SC([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
35,original,reactant,O=C(/C=C/C)NC1=CC=CC=C1
35,original,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
35,original,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
35,pruned,reactant,C/C=C/C(=O)Nc1ccccc1
35,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
35,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
36,original,reactant,ClC1=CN=C(NC2=CC(NC(/C=C/CN(C)C)=O)=CC=C2)N=C1C3=CNC4=C3C=CC=C4
36,original,intermediate,[H]c1nc(N([H])c2c([H])c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c2[H])nc(-c2c([H])n([H])c3c([H])c([H])c([H])c([H])c23)c1Cl
36,original,product,[H]c1nc(N([H])c2c([H])c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c2[H])nc(-c2c([H])n([H])c3c([H])c([H])c([H])c([H])c23)c1Cl
36,pruned,reactant,[H]/C(C(=O)N([H])c1c([H])c([H])c([H])c([5H])c1[H])=C(/[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
36,pruned,intermediate,[H]c1c([H])c([5H])c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c1[H]
36,pruned,product,[H]c1c([H])c([5H])c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c1[H]
37,original,reactant,ClC1=CN=C(NC2=CC(NC(C=C)=O)=CC=C2OC)N=C1C3=CN=C4C=CC=CN43
37,original,intermediate,[H]C1=C([H])c2nc([H])c(-c3nc(N([H])c4c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c4OC([H])([H])[H])nc([H])c3Cl)n2C([H])=C1[H]
37,original,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(-c2c([H])nc3c([H])c([H])c([H])c([H])n23)c1Cl
37,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([17H])c([5H])c1[H]
37,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([5H])c1[17H]
37,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([5H])c1[17H]
38,original,reactant,ClC1=CN=C(NC2=C(OC)C=C(CN(C)C)C(NC(C=C)=O)=C2)N=C1C3=CN=C4C=CC=CN43
38,original,intermediate,[H]C1=C([H])c2nc([H])c(-c3nc(N([H])c4c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c4OC([H])([H])[H])nc([H])c3Cl)n2C([H])=C1[H]
38,original,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c2OC([H])([H])[H])nc(-c2c([H])nc3c([H])c([H])c([H])c([H])n23)c1Cl
38,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([5H])c([8H])c([H])c1[12H]
38,pruned,intermediate,[H]c1c([8H])c([5H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[12H]
38,pruned,product,[H]c1c([8H])c([5H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[12H]
39,original,reactant,ClC1=CN=C(NC2=C(OC)C=CC(NC(/C=C/CN(C)C)=O)=C2)N=C1C3=CN=C4C(C)=CC=CN43
39,original,intermediate,[H]C1=C([H])n2c(nc([H])c2-c2nc(N([H])c3c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c3OC([H])([H])[H])nc([H])c2Cl)C(C([H])([H])[H])=C1[H]
39,original,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(-c2c([H])nc3c(C([H])([H])[H])c([H])c([H])c([H])n23)c1Cl
39,pruned,reactant,[H]/C(C(=O)N([H])c1c([H])c([H])c([8H])c([5H])c1[H])=C(/[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
39,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([5H])c1[8H]
39,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([5H])c1[8H]
40,original,reactant,COC(C=CC(NC(/C=C/CN(C)C)=O)=C1)=C1NC2=NC=C(C#N)C(C3=C4C=CC=CN4N=C3)=N2
40,original,intermediate,[H]C1=C([H])c2c(-c3nc(N([H])c4c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4OC([H])([H])[H])nc([H])c3C#N)c([H])nn2C([H])=C1[H]
40,original,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(-c2c([H])nn3c([H])c([H])c([H])c([H])c23)c1C#N
40,pruned,reactant,[H]/C(C(=O)N([H])c1c([H])c([H])c([1H])c([17H])c1[H])=C(/[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
40,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([17H])c1[1H]
40,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([17H])c1[1H]
41,original,reactant,ClC1=CN=C(NC2=NN(C)C(NC(C=C)=O)=C2)N=C1C3=C4C=CC=CN4N=C3
41,original,intermediate,[H]C1=C([H])c2c(-c3nc(N([H])c4nn(C([H])([H])[H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c4[H])nc([H])c3Cl)c([H])nn2C([H])=C1[H]
41,original,product,[H]c1nc(N([H])c2nn(C([H])([H])[H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c2[H])nc(-c2c([H])nn3c([H])c([H])c([H])c([H])c23)c1Cl
