Name,Pruned,RC,SMILES
7m,original,product,[H]c1c([H])c(C(=O)OC([H])([H])[H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
7m,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([10H])c1[H]
7m,pruned,intermediate,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
7m,pruned,product,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
8m,original,reactant,O=C(C=C)NC1=CC=CC(C#N)=C1
8m,original,intermediate,[H]c1c([H])c(C#N)c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
8m,original,product,[H]c1c([H])c(C#N)c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
8m,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([10H])c1[H]
8m,pruned,intermediate,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
8m,pruned,product,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
9m,original,reactant,O=C(C=C)NC1=CC=CC(OC)=C1
9m,original,intermediate,[H]c1c([H])c(OC([H])([H])[H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
9m,original,product,[H]c1c([H])c(OC([H])([H])[H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
9m,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([10H])c1[H]
9m,pruned,intermediate,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
9m,pruned,product,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
10m,original,reactant,O=C(C=C)NC1=CC=CC(SC)=C1
10m,original,intermediate,[H]c1c([H])c(SC([H])([H])[H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
10m,original,product,[H]c1c([H])c(SC([H])([H])[H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
10m,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([10H])c1[H]
10m,pruned,intermediate,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
10m,pruned,product,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
11m,original,reactant,O=C(C=C)NC1=CC=CC(N(C)C)=C1
11m,original,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c1[H]
11m,original,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c1[H]
11m,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([10H])c1[H]
11m,pruned,intermediate,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
11m,pruned,product,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
12m,original,reactant,O=C(C=C)NC1=CC=CC([N+]([O-])=O)=C1
12m,original,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([N+](=O)[O-])c1[H]
12m,original,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([N+](=O)[O-])c1[H]
12m,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([10H])c1[H]
12m,pruned,intermediate,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
12m,pruned,product,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
2p,original,reactant,O=C(C=C)NC1=CC=C(F)C=C1
2p,original,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1F
2p,original,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1F
2p,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([9H])c([H])c1[H]
2p,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
2p,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
3p,original,reactant,O=C(C=C)NC1=CC=C(Cl)C=C1
3p,original,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1Cl
3p,original,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1Cl
3p,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([9H])c([H])c1[H]
3p,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
3p,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
4p,original,reactant,O=C(C=C)NC1=CC=C(C)C=C1
4p,original,intermediate,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H]
4p,original,product,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H]
4p,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([9H])c([H])c1[H]
4p,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
4p,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
5p,original,reactant,O=C(C=C)NC1=CC=C(C(F)(F)F)C=C1
5p,original,intermediate,[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H]
5p,original,product,[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H]
5p,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([9H])c([H])c1[H]
5p,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
