Name,RC,SMILES,charge,"E(opt, kcal/mol)","time(opt, sec)","E(rattled, kcal/mol)","E(initial, kcal/mol)"
S2-45.19,intermediate,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,0,-1555373.0743839138,9.781270031817257,-1555335.0015827,-1555341.3373277634
S2-45.19,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,1,-1555635.3631652622,4.191501720808446,-1555623.849121732,-1555630.6143915036
S2-45.20,reactant,CNC(=O)c1ccccc1Nc1nc(Nc2cc(NC(=O)/C=C/C[NH+](C)C)ccc2OC)ncc1Cl,1,-1280257.6773559593,10.19228086527437,-1280241.6395688136,-1280247.789345647
S2-45.20,intermediate,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,0,-1555365.8194005075,3.6892797518521547,-1555352.7729996257,-1555359.096609545
S2-45.20,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,1,-1555644.659746378,2.6940489765256643,-1555630.0521574505,-1555639.2221501253
S2-45.21,reactant,CNC(=O)c1ccccc1Nc1nc(Nc2cc(NC(=O)/C=C/C[NH+](C)C)ccc2OC)ncc1Cl,1,-1280263.9937365311,4.614209990948439,-1280253.0170724334,-1280258.4614103008
S2-45.21,intermediate,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,0,-1555374.1584055047,9.369797862134874,-1555324.2285056328,-1555329.3163271735
S2-45.21,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,1,-1555637.204276176,7.93162627518177,-1555618.5838964623,-1555625.860039743
S2-45.22,reactant,CNC(=O)c1ccccc1Nc1nc(Nc2cc(NC(=O)/C=C/C[NH+](C)C)ccc2OC)ncc1Cl,1,-1280254.0873732197,4.027869281359017,-1280240.7027201417,-1280246.7736394585
S2-45.22,intermediate,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,0,-1555371.1430692177,6.2505806582048535,-1555345.0494885158,-1555351.7444016535
